xue4	x ve4
shao5	sh ao5
yu1	v1
xin5	x i5 n
zui3	z uei3
chang3	ch a3 ng
mou2	m ou2
qia1	q ia1
nang1	n a1 ng
zhuang4	zh ua4 ng
miao3	m iao3
zong3	z o3 ng
e3	e3
kua3	k ua3
chao5	ch ao5
guang1	g ua1 ng
xu3	x v3
yao2	iao2
zhai3	zh ai3
sai4	s ai4
min2	m i2 n
niang5	n ia5 ng
qu4	q v4
hao2	h ao2
ping2	p i2 ng
bang4	b a4 ng
zhai4	zh ai4
cong2	c o2 ng
cuan2	c ua2 n
yun2	v2 n
qiu2	q iu2
mu2	m u2
hu3	h u3
xiu3	x iu3
shi1	sh ii1
kuai5	k uai5
tanr1	t a3 r n
shuan1	sh ua1 n
wen2	ue2 n
ke2	k e2
tong1	t o1 ng
xu2	x v2
beng1	b e1 ng
liu4	l iu4
na3	n a3
dunr3	d ue1 r
wen1	ue1 n
fu2	f u2
tongr4	t o2 g r
shang4	sh a4 ng
e4	e4
e1	e1
hui4	h uei4
nian1	n ia1 n
kun1	k ue1 n
ma1	m a1
long5	l o5 ng
yao3	iao3
ei5	i5
chao2	ch ao2
xiong5	x io5 ng
shi5	sh ii5
shang5	sh a5 ng
shang2	s h a2 ng
jin5	j i5 n
yang3	ia3 ng
geng2	g e2 ng
li3	l i3
yun4	v4 n
jiu4	j iu4
sha2	sh a2
niu3	n iu3
hong3	h o3 ng
gun2	g ue2 n
zhi1	zh ii1
shua2	s h ua2
yue5	v3 ie5
feng1	f e1 ng
sao5	s ao5
huanr1	h ua4 r n
tai1	t ai1
chou1	ch ou1
chuan5	ch a5 n
tuo1	t uo1
bai1	b ai1
can4	c a4 n
xia5	x ia5
dan3	d a3 n
zhan1	zh a1 n
pu4	p u4
cheng5	ch e5 ng
guai1	g uai1
tuan4	t ua4 n
shuang2	sh ua2 ng
nan4	n a4 n
liang3	l ia3 ng
juan3	j va3 n
zhou3	zh ou3
men5	m e5 n
wanr1	ua1 r n
nao5	n ao5
seng1	s e1 ng
p	p
cha4	ch a4
lian4	l ia4 n
gua1	g ua1
du4	d u4
qian4	q ia4 n
zuan4	z ua4 n
dei3	d ei3
ti1	t i1
che2	ch e2
tui4	t uei4
shang1	sh a1 ng
quan2	q va2 n
zu5	z u5
gan2	g a2 n
de5	d e5
mei4	m ei4
yong1	io1 ng
zang1	z a1 ng
wu1	u1
lei2	l ei2
zhu4	zh u4
kao3	k ao3
shan2	s h a2 n
qi2	q i2
gan1	g a1 n
hao4	h ao4
song1	s o1 ng
sou3	s ou3
ceng2	c e2 ng
pao1	p ao1
cun2	c ue2 n
shao1	sh ao1
nei3	n ei3
zhi5	zh ii5
xiao4	x iao4
mao5	m ao5
gen1	g e1 n
zao2	z ao2
qiu3	q iu3
fei2	f ei2
ding1	d i1 ng
tou2	t ou2
chuang1	ch ua1 ng
zou4	z ou4
sheng4	sh e4 ng
da1	d a1
guo5	g uo5
